# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:25
#
# 1 (TIME - s);1 (Z displacement - mm);# 10 (TIME - s);10 (Z displacement - mm);# 2 (TIME - s);2 (Z displacement - mm);# 3 (TIME - s);3 (Z displacement - mm);# 4 (TIME - s);4 (Z displacement - mm);# 5 (TIME - s);5 (Z displacement - mm);# 6 (TIME - s);6 (Z displacement - mm);# 7 (TIME - s);7 (Z displacement - mm);# 8 (TIME - s);8 (Z displacement - mm);# 9 (TIME - s);9 (Z displacement - mm)
36699.1408;-0.0071479963;36699.1408;-0.0114341599;36699.1408;-0.00786218802;36699.1408;-0.0105871426;36699.1408;-0.0134845529;36699.1408;-0.0139913339;36699.1408;-0.0130335485;36699.1408;-0.01051462;36699.1408;-0.00793338783;36699.1408;-0.0131737413
36699.3166;-0.00714485306;36699.3166;-0.0114139247;36699.3166;-0.00785206492;36699.3166;-0.0105635032;36699.3166;-0.0134491247;36699.3166;-0.0139533183;36699.3166;-0.0130093968;36699.3166;-0.0105122424;36699.3166;-0.00794080158;36699.3166;-0.0131397398
36710.7408;-0.00709139426;36710.7408;-0.0112648746;36710.7408;-0.00783769233;36710.7408;-0.0105586838;36710.7408;-0.0132868949;36710.7408;-0.0136682937;36710.7408;-0.0127286155;36710.7408;-0.0102720187;36710.7408;-0.0078037672;36710.7408;-0.013048086
37172.1749;-0.00640919637;37172.1749;-0.0107086155;37172.1749;-0.00720900649;37172.1749;-0.0100373531;37172.1749;-0.0128434657;37172.1749;-0.0132249041;37172.1749;-0.0121894724;37172.1749;-0.00958148232;37172.1749;-0.00704925627;37172.1749;-0.0126026237
37172.1752;-0.00665068193;37172.1752;-0.0110015301;37172.1752;-0.00741853828;37172.1752;-0.0102348451;37172.1752;-0.0131271589;37172.1752;-0.0135763749;37172.1752;-0.0125576827;37172.1752;-0.00995754912;37172.1752;-0.00737362074;37172.1752;-0.0128457382
37172.3509;-0.00674476029;37172.3509;-0.0110844403;37172.3509;-0.00750790752;37172.3509;-0.01031489;37172.3509;-0.013199036;37172.3509;-0.0136469094;37172.3509;-0.0126386053;37172.3509;-0.0100548449;37172.3509;-0.00747733551;37172.3509;-0.0129183898
37183.7752;-0.00655202016;37183.7752;-0.0107923229;37183.7752;-0.00734140369;37183.7752;-0.010142842;37183.7752;-0.0128799464;37183.7752;-0.0132192181;37183.7752;-0.0122309694;37183.7752;-0.00970544739;37183.7752;-0.00722535987;37183.7752;-0.0126615001
37635.3068;-0.00601409098;37635.3068;-0.0103561813;37635.3068;-0.00685423265;37635.3068;-0.00975084722;37635.3068;-0.0125420804;37635.3068;-0.0128704906;37635.3068;-0.0117987947;37635.3068;-0.0091428122;37635.3068;-0.00661494886;37635.3068;-0.0123282057
37635.307;-0.00623880139;37635.307;-0.0106369697;37635.307;-0.0070547955;37635.307;-0.00994926598;37635.307;-0.012823334;37635.307;-0.0132124151;37635.307;-0.0121468587;37635.307;-0.00948626399;37635.307;-0.00690831834;37635.307;-0.0125730419
37635.4828;-0.00628392278;37635.4828;-0.0106745133;37635.4828;-0.00709476697;37635.4828;-0.00998097699;37635.4828;-0.012852172;37635.4828;-0.0132430739;37635.4828;-0.0121861712;37635.4828;-0.00953748304;37635.4828;-0.00696213933;37635.4828;-0.0126008244
