# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:34:50
#
# 1 (TIME - s);1 (Equivalent stress - MPa);# 2 (TIME - s);2 (Equivalent stress - MPa);# 3 (TIME - s);3 (Equivalent stress - MPa);# 4 (TIME - s);4 (Equivalent stress - MPa);# 5 (TIME - s);5 (Equivalent stress - MPa);# 6 (TIME - s);6 (Equivalent stress - MPa);# 7 (TIME - s);7 (Equivalent stress - MPa);# 8 (TIME - s);8 (Equivalent stress - MPa);# 9 (TIME - s);9 (Equivalent stress - MPa)
30863.6968;535.215351;30863.6968;537.191635;30863.6968;544.30365;30863.6968;572.55266;30863.6968;591.207746;30863.6968;593.828075;30863.6968;554.995039;30863.6968;534.006283;30863.6968;550.454706
30875.1211;537.21203;30875.1211;539.010256;30875.1211;545.834028;30875.1211;573.822334;30875.1211;592.297735;30875.1211;594.883048;30875.1211;556.400906;30875.1211;535.895701;30875.1211;551.94189
31218.4531;536.632312;31218.4531;538.774712;31218.4531;546.148948;31218.4531;574.844176;31218.4531;593.791339;31218.4531;596.420529;31218.4531;557.052942;31218.4531;535.520904;31218.4531;552.392085
31218.4531;535.505741;31218.4531;537.695112;31218.4531;545.126525;31218.4531;573.876565;31218.4531;592.803489;31218.4531;595.418665;31218.4531;556.088953;31218.4531;534.435841;31218.4531;551.386797
31218.6289;535.48356;31218.6289;537.674736;31218.6289;545.110009;31218.6289;573.856996;31218.6289;592.783759;31218.6289;595.40146;31218.6289;556.069763;31218.6289;534.41375;31218.6289;551.369312
31230.0531;540.536713;31230.0531;542.461176;31230.0531;549.600912;31230.0531;577.996972;31230.0531;596.838538;31230.0531;599.551887;31230.0531;560.263959;31230.0531;539.237405;31230.0531;555.780962
31571.6417;539.758885;31571.6417;541.9817;31571.6417;549.579391;31571.6417;578.545222;31571.6417;597.743307;31571.6417;600.473491;31571.6417;560.497403;31571.6417;538.625686;31571.6417;555.857714
31571.6417;538.626247;31571.6417;540.897987;31571.6417;548.549975;31571.6417;577.566956;31571.6417;596.73903;31571.6417;599.448906;31571.6417;559.513282;31571.6417;537.528558;31571.6417;554.838456
31571.8174;538.568047;31571.8174;540.843925;31571.8174;548.503286;31571.8174;577.523495;31571.8174;596.697093;31571.8174;599.409029;31571.8174;559.46905;31571.8174;537.472993;31571.8174;554.792769
31583.2417;539.918273;31583.2417;542.079656;31583.2417;549.554963;31583.2417;578.405793;31583.2417;597.465823;31583.2417;600.157424;31583.2417;560.439026;31583.2417;538.753851;31583.2417;555.816918
31923.1871;539.969949;31923.1871;542.391824;31923.1871;550.286449;31923.1871;579.696712;31923.1871;599.130431;31923.1871;601.856236;31923.1871;561.432319;31923.1871;538.957174;31923.1871;556.655299
31923.1871;538.730896;31923.1871;541.20702;31923.1871;549.161859;31923.1871;578.633443;31923.1871;598.04769;31923.1871;600.751855;31923.1871;560.364466;31923.1871;537.760526;31923.1871;555.544965
31923.3629;538.759197;31923.3629;541.231813;31923.3629;549.183486;31923.3629;578.646566;31923.3629;598.058139;31923.3629;600.76513;31923.3629;560.382354;31923.3629;537.786828;31923.3629;555.566155
31934.7871;539.782043;31934.7871;542.170365;31934.7871;549.984539;31934.7871;579.31955;31934.7871;598.644787;31934.7871;601.335306;31934.7871;561.119383;31934.7871;538.757187;31934.7871;556.34473
32272.9146;540.002292;32272.9146;542.624417;32272.9146;550.8151;32272.9146;580.662559;32272.9146;600.327489;32272.9146;603.047892;32272.9146;562.189843;32272.9146;539.113213;32272.9146;557.273966
32272.9146;538.827829;32272.9146;541.500751;32272.9146;549.752751;32272.9146;579.666707;32272.9146;599.312746;32272.9146;602.015294;32272.9146;561.195272;32272.9146;537.984643;32272.9146;556.231958
32273.0903;538.821376;32273.0903;541.493242;32273.0903;549.745344;32273.0903;579.656042;32273.0903;599.301159;32273.0903;602.005925;32273.0903;561.188143;32273.0903;537.978476;32273.0903;556.225355
32284.5146;539.67445;32284.5146;542.278424;32284.5146;550.420664;32284.5146;580.224802;32284.5146;599.802141;32284.5146;602.495719;32284.5146;561.808229;32284.5146;538.788108;32284.5146;556.881612
32620.8626;540.033296;32620.8626;542.842458;32620.8626;551.317646;32620.8626;581.586406;32620.8626;601.472127;32620.8626;604.191893;32620.8626;562.928686;32620.8626;539.270426;32620.8626;557.872497
32620.8626;538.878146;32620.8626;541.740243;32620.8626;550.276893;32620.8626;580.611795;32620.8626;600.478164;32620.8626;603.178348;32620.8626;561.951317;32620.8626;538.159579;32620.8626;556.848463
32621.0383;538.889187;32621.0383;541.749588;32621.0383;550.285264;32621.0383;580.616697;32621.0383;600.480581;32621.0383;603.182522;32621.0383;561.95863;32621.0383;538.16966;32621.0383;556.856999
32632.4626;543.088947;32632.4626;545.76524;32632.4626;554.138337;32632.4626;584.229232;32632.4626;604.098647;32632.4626;606.918954;32632.4626;565.549949;32632.4626;542.176795;32632.4626;560.641833
32967.062;543.311983;32967.062;546.157301;32967.062;554.783833;32967.062;585.20554;32967.062;605.277131;32967.062;608.101472;32967.062;566.318311;32967.062;542.473538;32967.062;561.335945
32967.062;542.102309;32967.062;545.005191;32967.062;553.697521;32967.062;584.192127;32967.062;604.244812;32967.062;607.045453;32967.062;565.294102;32967.062;541.308411;32967.062;560.265486
32967.2378;542.130814;32967.2378;545.031367;32967.2378;553.720641;32967.2378;584.209171;32967.2378;604.257403;32967.2378;607.058655;32967.2378;565.311888;32967.2378;541.333698;32967.2378;560.286673
32978.662;542.596373;32978.662;545.462112;32978.662;554.094934;32978.662;584.522844;32978.662;604.53792;32978.662;607.335154;32978.662;565.655339;32978.662;541.777381;32978.662;560.650612
33311.4435;543.358833;33311.4435;546.376921;33311.4435;555.259073;33311.4435;586.05388;33311.4435;606.312265;33311.4435;609.130461;33311.4435;566.986402;33311.4435;542.624609;33311.4435;561.886317
33311.4435;542.200298;33311.4435;545.272178;33311.4435;554.218577;33311.4435;585.087718;33311.4435;605.328063;33311.4435;608.125538;33311.4435;566.015236;33311.4435;541.51241;33311.4435;560.866312
33311.6192;542.201641;33311.6192;545.272552;33311.6192;554.217851;33311.6192;585.08367;33311.6192;605.321583;33311.6192;608.119528;33311.6192;566.012276;33311.6192;541.512666;33311.6192;560.864822
33323.0435;542.761874;33323.0435;545.794319;33323.0435;554.676194;33323.0435;585.466565;33323.0435;605.665961;33323.0435;608.459739;33323.0435;566.41557;33323.0435;542.037804;33323.0435;561.303162
33654.0866;543.249785;33654.0866;546.441541;33654.0866;555.580827;33654.0866;586.747198;33654.0866;607.194049;33654.0866;610.006494;33654.0866;567.508841;33654.0866;542.625923;33654.0866;562.287375
33654.0866;542.064105;33654.0866;545.313734;33654.0866;554.5218;33654.0866;585.766829;33654.0866;606.198252;33654.0866;608.989298;33654.0866;566.522312;33654.0866;541.489811;33654.0866;561.248268
