# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:19
#
# 1 (TIME - s);1 (Y displacement - mm);# 10 (TIME - s);10 (Y displacement - mm);# 2 (TIME - s);2 (Y displacement - mm);# 3 (TIME - s);3 (Y displacement - mm);# 4 (TIME - s);4 (Y displacement - mm);# 5 (TIME - s);5 (Y displacement - mm);# 6 (TIME - s);6 (Y displacement - mm);# 7 (TIME - s);7 (Y displacement - mm);# 8 (TIME - s);8 (Y displacement - mm);# 9 (TIME - s);9 (Y displacement - mm)
34011.1107;0.00508744627;34011.1107;0.00504035407;34011.1107;0.00850075219;34011.1107;0.011474355;34011.1107;0.00676123255;34011.1107;0.00283667869;34011.1107;9.80796316e-06;34011.1107;-0.00190615997;34011.1107;0.000858478612;34011.1107;0.00926141725
34011.1109;0.00510462592;34011.1109;0.00511799716;34011.1109;0.00853905385;34011.1109;0.0115541794;34011.1109;0.00688547534;34011.1109;0.00297867922;34011.1109;0.000122823462;34011.1109;-0.00183028873;34011.1109;0.000893783015;34011.1109;0.00937630347
34011.2867;0.00510097876;34011.2867;0.00512642547;34011.2867;0.00853305927;34011.2867;0.01154966;34011.2867;0.00689620617;34011.2867;0.00299996575;34011.2867;0.000140979225;34011.2867;-0.00181664541;34011.2867;0.000899258402;34011.2867;0.00938078317
34022.7109;0.00504349704;34022.7109;0.00497692443;34022.7109;0.00840402334;34022.7109;0.0113137345;34022.7109;0.00664848494;34022.7109;0.00278839292;34022.7109;2.802222e-05;34022.7109;-0.00184939164;34022.7109;0.000873307679;34022.7109;0.00911189785
34604.3651;0.00514115792;34604.3651;0.00506276197;34604.3651;0.00857258331;34604.3651;0.0115522857;34604.3651;0.00677139304;34604.3651;0.00279426471;34604.3651;-6.38228807e-05;34604.3651;-0.00198608435;34604.3651;0.000846776104;34604.3651;0.00930116293
34604.3654;0.00511092432;34604.3654;0.00508054346;34604.3654;0.00856444556;34604.3654;0.0115827942;34604.3654;0.0068303294;34604.3654;0.00285986454;34604.3654;-1.75056658e-05;34604.3654;-0.00196672722;34604.3654;0.000832520717;34604.3654;0.00935698585
34604.5411;0.00517284603;34604.5411;0.00515368054;34604.5411;0.00862397781;34604.5411;0.0116436468;34604.5411;0.00690698751;34604.5411;0.00294756854;34604.5411;6.79185502e-05;34604.5411;-0.00188620401;34604.5411;0.00090298111;34604.5411;0.0094272476
34615.9654;0.00514176539;34615.9654;0.00506248617;34615.9654;0.00853406876;34615.9654;0.0114693218;34615.9654;0.00673989518;34615.9654;0.00282361124;34615.9654;5.56490337e-06;34615.9654;-0.00190000798;34615.9654;0.000892491167;34615.9654;0.00923545379
35170.2592;0.00513520143;35170.2592;0.00504136723;35170.2592;0.0085875473;35170.2592;0.0115815158;35170.2592;0.00674868435;35170.2592;0.00272744523;35170.2592;-0.000174806306;35170.2592;-0.00211662563;35170.2592;0.000776213979;35170.2592;0.00930334321
35170.2594;0.00510176197;35170.2594;0.00504169104;35170.2594;0.00857491153;35170.2594;0.0116013435;35170.2594;0.00678116793;35170.2594;0.00275744691;35170.2594;-0.00015276087;35170.2594;-0.00210984251;35170.2594;0.000757226549;35170.2594;0.00933784701
35170.4352;0.00509725455;35170.4352;0.00504946592;35170.4352;0.00857046297;35170.4352;0.0116012898;35170.4352;0.00679564678;35170.4352;0.00278067038;35170.4352;-0.000134365076;35170.4352;-0.00209845523;35170.4352;0.000758855987;35170.4352;0.00934731464
35181.8594;0.00511647735;35181.8594;0.00503878193;35181.8594;0.00854237974;35181.8594;0.0115111296;35181.8594;0.00673355588;35181.8594;0.00276800238;35181.8594;-0.000116663039;35181.8594;-0.00206013015;35181.8594;0.000792398143;35181.8594;0.00925713939
35709.4547;0.00511437391;35709.4547;0.00501720029;35709.4547;0.00858680077;35709.4547;0.0115988908;35709.4547;0.00673144374;35709.4547;0.00267670472;35709.4547;-0.000276746187;35709.4547;-0.00224621654;35709.4547;0.000696287394;35709.4547;0.00930497773
35709.455;0.00509993914;35709.455;0.00502542906;35709.455;0.00859212276;35709.455;0.0116313324;35709.455;0.0067636702;35709.455;0.00269974398;35709.455;-0.000253283493;35709.455;-0.0022296831;35709.455;0.00069389161;35709.455;0.00934305678
35709.6307;0.00510200111;35709.6307;0.00503683038;35709.6307;0.00859461792;35709.6307;0.0116376652;35709.6307;0.00678075909;35709.6307;0.00272295533;35709.6307;-0.000233481905;35709.6307;-0.00221509405;35709.6307;0.000700730971;35709.6307;0.00935663814
35721.055;0.00513296987;35721.055;0.0050608923;35721.055;0.00858947973;35721.055;0.0115903868;35721.055;0.00677464391;35721.055;0.00276714727;35721.055;-0.000182469848;35721.055;-0.00216379272;35721.055;0.000741432273;35721.055;0.00932202388
36216.0935;0.00511126382;36216.0935;0.00501790077;36216.0935;0.00860507739;36216.0935;0.0116392657;36216.0935;0.00674494422;36216.0935;0.00266054655;36216.0935;-0.000347271431;36216.0935;-0.002348138;36216.0935;0.000637971044;36216.0935;0.00933521879
36216.0938;0.00508651645;36216.0938;0.00500869659;36216.0938;0.00859817545;36216.0938;0.0116550526;36216.0938;0.00675416431;36216.0938;0.00265774815;36216.0938;-0.000346078328;36216.0938;-0.00234963774;36216.0938;0.000622624093;36216.0938;0.00935184887
