# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:28:52
#
# 1 (TIME - s);1 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm)
32273.0903;0.00306127836;32273.0903;0.00345140688;32273.0903;0.00402500128;32273.0903;0.0045743601;32273.0903;0.00441017744;32273.0903;0.00394662129;32273.0903;0.00352234802;32273.0903;0.00402244452
32284.5146;0.0030151269;32284.5146;0.00340447666;32284.5146;0.00397264695;32284.5146;0.00451769171;32284.5146;0.00435252928;32284.5146;0.00389194068;32284.5146;0.00347153931;32284.5146;0.00396946444
32620.8626;0.00304692737;32620.8626;0.00344564143;32620.8626;0.00402935239;32620.8626;0.00458524972;32620.8626;0.00441817291;32620.8626;0.0039454817;32620.8626;0.00351246953;32620.8626;0.00402277268
32620.8626;0.00304347959;32620.8626;0.0034590285;32620.8626;0.00406297096;32620.8626;0.00462886403;32620.8626;0.00445200471;32620.8626;0.00396282876;32620.8626;0.00351575123;32620.8626;0.00404609319
32621.0383;0.00300261892;32621.0383;0.00341915371;32621.0383;0.00402461166;32621.0383;0.00459116576;32621.0383;0.00441360482;32621.0383;0.00392343293;32621.0383;0.00347548731;32621.0383;0.00400702887
32632.4626;0.00289260466;32632.4626;0.00325550788;32632.4626;0.00378207461;32632.4626;0.00430080245;32632.4626;0.00414572552;32632.4626;0.00371743221;32632.4626;0.00332797179;32632.4626;0.0037904747
32967.062;0.00291695744;32967.062;0.00329167659;32967.062;0.00383652608;32967.062;0.00436753583;32967.062;0.0042085854;32967.062;0.00376553212;32967.062;0.00336163145;32967.062;0.00383981886
32967.062;0.00287676797;32967.062;0.00326808743;32967.062;0.0038328436;32967.062;0.00437376686;32967.062;0.0042052645;32967.062;0.00374595558;32967.062;0.00332813891;32967.062;0.0038260775
32967.2378;0.00286059316;32967.2378;0.00325245142;32967.2378;0.0038183155;32967.2378;0.00435978236;32967.2378;0.00419090929;32967.2378;0.00373094497;32967.2378;0.00331250863;32967.2378;0.0038111824
32978.662;0.0028205273;32978.662;0.00321285285;32978.662;0.00377791628;32978.662;0.00431815893;32978.662;0.00414825707;32978.662;0.0036887457;32978.662;0.00327116878;32978.662;0.00376988947
