# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:31:33
#
# 1 (TIME - s);1 (X displacement - mm);# 10 (TIME - s);10 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm);# 9 (TIME - s);9 (X displacement - mm)
36699.1408;-0.0699342158;36699.1408;-0.0855895014;36699.1408;-0.0724249235;36699.1408;-0.0779738637;36699.1408;-0.088539859;36699.1408;-0.0901118906;36699.1408;-0.0856206346;36699.1408;-0.0780008451;36699.1408;-0.0743404344;36699.1408;-0.0787008569
36699.3166;-0.0698671226;36699.3166;-0.0855228842;36699.3166;-0.0723651232;36699.3166;-0.0779200192;36699.3166;-0.0884831341;36699.3166;-0.0900479041;36699.3166;-0.0855499239;36699.3166;-0.0779281597;36699.3166;-0.0742698111;36699.3166;-0.0786368513
36710.7408;-0.0695984599;36710.7408;-0.0852807584;36710.7408;-0.0720855374;36710.7408;-0.0776389586;36710.7408;-0.0882238344;36710.7408;-0.0898044014;36710.7408;-0.0853199741;36710.7408;-0.0776942147;36710.7408;-0.0740231658;36710.7408;-0.0783774952
37172.1749;-0.0708936797;37172.1749;-0.0865472372;37172.1749;-0.0733162412;37172.1749;-0.0788143881;37172.1749;-0.0894122967;37172.1749;-0.0910454983;37172.1749;-0.0866120539;37172.1749;-0.0790122277;37172.1749;-0.0753339261;37172.1749;-0.079634883
37172.1752;-0.0708831101;37172.1752;-0.0865644138;37172.1752;-0.0733368542;37172.1752;-0.0788649011;37172.1752;-0.0894659365;37172.1752;-0.0910772818;37172.1752;-0.0866173619;37172.1752;-0.0789980074;37172.1752;-0.0753192986;37172.1752;-0.07964994
37172.3509;-0.0707984766;37172.3509;-0.0864813583;37172.3509;-0.0732586192;37172.3509;-0.0787920477;37172.3509;-0.0893912722;37172.3509;-0.0909967613;37172.3509;-0.0865310026;37172.3509;-0.0789093715;37172.3509;-0.0752320606;37172.3509;-0.0795685439
37183.7752;-0.0705573172;37183.7752;-0.0862604831;37183.7752;-0.0730119348;37183.7752;-0.0785468453;37183.7752;-0.089161883;37183.7752;-0.0907762425;37183.7752;-0.0863173821;37183.7752;-0.0786918343;37183.7752;-0.0750060416;37183.7752;-0.079335705
37635.3068;-0.0716437109;37635.3068;-0.0873179382;37635.3068;-0.0740392678;37635.3068;-0.0795231982;37635.3068;-0.0901485053;37635.3068;-0.0918100577;37635.3068;-0.0873982285;37635.3068;-0.0797977516;37635.3068;-0.0761060286;37635.3068;-0.0803861048
37635.307;-0.0716839382;37635.307;-0.0873847806;37635.307;-0.0741058231;37635.307;-0.0796156071;37635.307;-0.0902453758;37635.307;-0.0918893876;37635.307;-0.0874557828;37635.307;-0.079837681;37635.307;-0.076144366;37635.307;-0.080449562
37635.4828;-0.0716313446;37635.4828;-0.0873332322;37635.4828;-0.0740578678;37635.4828;-0.0795714969;37635.4828;-0.0901998318;37635.4828;-0.0918396329;37635.4828;-0.0874018998;37635.4828;-0.0797822031;37635.4828;-0.0760899021;37635.4828;-0.0803992472
37646.907;-0.0714102617;37646.907;-0.0871338768;37646.907;-0.0738379433;37646.907;-0.0793585447;37646.907;-0.0900007407;37646.907;-0.0916433813;37646.907;-0.0872057417;37646.907;-0.0795792458;37646.907;-0.0758802133;37646.907;-0.0801898518
38090.6197;-0.0723705262;38090.6197;-0.0880692859;38090.6197;-0.0747459002;38090.6197;-0.0802216949;38090.6197;-0.0908737078;38090.6197;-0.0925582186;38090.6197;-0.0881621949;38090.6197;-0.0805576291;38090.6197;-0.0768531066;38090.6197;-0.0811185755
38090.6199;-0.072433582;38090.6199;-0.0881585124;38090.6199;-0.0748307882;38090.6199;-0.080328826;38090.6199;-0.0909869882;38090.6199;-0.0926582506;38090.6199;-0.0882446799;38090.6199;-0.0806239295;38090.6199;-0.0769165909;38090.6199;-0.0812029004
38090.7957;-0.0723990911;38090.7957;-0.0881245321;38090.7957;-0.074800721;38090.7957;-0.0803023359;38090.7957;-0.0909588619;38090.7957;-0.0926259173;38090.7957;-0.088208291;38090.7957;-0.0805861721;38090.7957;-0.0768799865;38090.7957;-0.0811703623
38102.2199;-0.0721532474;38102.2199;-0.0878951771;38102.2199;-0.0745594349;38102.2199;-0.0800693448;38102.2199;-0.0907349317;38102.2199;-0.0924004993;38102.2199;-0.0879793081;38102.2199;-0.0803509634;38102.2199;-0.0766408763;38102.2199;-0.0809347744
38539.762;-0.072965776;38539.762;-0.0886842165;38539.762;-0.0753238605;38539.762;-0.0807925107;38539.762;-0.0914666501;38539.762;-0.0931704505;38539.762;-0.0887878821;38539.762;-0.0811801319;38539.762;-0.0774650778;38539.762;-0.0817179502
38539.7622;-0.0730786938;38539.7622;-0.088822236;38539.7622;-0.0754548779;38539.7622;-0.080942705;38539.7622;-0.0916240096;38539.7622;-0.0933177555;38539.7622;-0.0889210466;38539.7622;-0.081298611;38539.7622;-0.0775799796;38539.7622;-0.0818502041
38539.938;-0.0730751732;38539.938;-0.0888223093;38539.938;-0.0754562773;38539.938;-0.0809486991;38539.938;-0.0916299893;38539.938;-0.0933199229;38539.938;-0.0889190046;38539.938;-0.0812939605;38539.938;-0.0775755533;38539.938;-0.0818503859
38551.3622;-0.0728387598;38551.3622;-0.0886014305;38551.3622;-0.075227994;38551.3622;-0.0807310364;38551.3622;-0.091419085;38551.3622;-0.0931042203;38551.3622;-0.0886963281;38551.3622;-0.0810641327;38551.3622;-0.0773432144;38551.3622;-0.0816250411
38982.5681;-0.0735621177;38982.5681;-0.0893040912;38982.5681;-0.0759079441;38982.5681;-0.0813739768;38982.5681;-0.092070148;38982.5681;-0.0937897536;38982.5681;-0.0894166748;38982.5681;-0.0818029053;38982.5681;-0.0780773633;38982.5681;-0.082322189
38982.5684;-0.0736941191;38982.5684;-0.0894598131;38982.5684;-0.0760549776;38982.5684;-0.0815376236;38982.5684;-0.0922415349;38982.5684;-0.0939534801;38982.5684;-0.0895689574;38982.5684;-0.08194191;38982.5684;-0.078212359;38982.5684;-0.082471704
38982.7441;-0.0736701962;38982.7441;-0.0894365833;38982.7441;-0.0760337008;38982.7441;-0.0815185113;38982.7441;-0.0922216521;38982.7441;-0.093931306;38982.7441;-0.0895444108;38982.7441;-0.0819163642;38982.7441;-0.0781873619;38982.7441;-0.0824491152
38994.1684;-0.0734524202;38994.1684;-0.0892318559;38994.1684;-0.0758265205;38994.1684;-0.0813231492;38994.1684;-0.0920302916;38994.1684;-0.0937322942;38994.1684;-0.0893360097;38994.1684;-0.0817008343;38994.1684;-0.077970852;38994.1684;-0.0822420726
39418.0149;-0.0740919868;39418.0149;-0.0898541838;39418.0149;-0.0764274269;39418.0149;-0.0818914238;39418.0149;-0.0926066218;39418.0149;-0.0943395811;39418.0149;-0.0899742989;39418.0149;-0.0823551396;39418.0149;-0.0786206859;39418.0149;-0.0828589031
