# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
31218.4531;207.397254;31218.4531;207.450713;31218.4531;207.506553;31218.4531;207.518006;31218.4531;207.461883;31218.4531;207.424394;31218.4531;207.409044;31218.4531;207.467388;31218.4531;207.500637
31218.4531;207.397253;31218.4531;207.450712;31218.4531;207.506552;31218.4531;207.518005;31218.4531;207.461883;31218.4531;207.424393;31218.4531;207.409043;31218.4531;207.467387;31218.4531;207.500636
31218.6289;207.388295;31218.6289;207.441475;31218.6289;207.496797;31218.6289;207.508026;31218.6289;207.452297;31218.6289;207.415098;31218.6289;207.399929;31218.6289;207.457911;31218.6289;207.491017
31230.0531;206.834327;31230.0531;206.883813;31230.0531;206.950757;31230.0531;206.972845;31230.0531;206.910859;31230.0531;206.869294;31230.0531;206.849766;31230.0531;206.908208;31230.0531;206.938228
31571.6417;207.272587;31571.6417;207.327954;31571.6417;207.388577;31571.6417;207.402453;31571.6417;207.343095;31571.6417;207.3031;31571.6417;207.285967;31571.6417;207.3471;31571.6417;207.381154
31571.6417;207.272586;31571.6417;207.327954;31571.6417;207.388576;31571.6417;207.402452;31571.6417;207.343094;31571.6417;207.303099;31571.6417;207.285966;31571.6417;207.347099;31571.6417;207.381153
31571.8174;207.264138;31571.8174;207.31924;31571.8174;207.379368;31571.8174;207.393031;31571.8174;207.334047;31571.8174;207.294329;31571.8174;207.277368;31571.8174;207.338156;31571.8174;207.372076
31583.2417;206.72645;31583.2417;206.775008;31583.2417;206.837204;31583.2417;206.856279;31583.2417;206.797622;31583.2417;206.758387;31583.2417;206.740491;31583.2417;206.796838;31583.2417;206.826527
31923.1871;207.146516;31923.1871;207.203664;31923.1871;207.26893;31923.1871;207.285197;31923.1871;207.222722;31923.1871;207.18031;31923.1871;207.161443;31923.1871;207.22523;31923.1871;207.260016
31923.1871;207.146515;31923.1871;207.203663;31923.1871;207.268929;31923.1871;207.285196;31923.1871;207.222721;31923.1871;207.180309;31923.1871;207.161442;31923.1871;207.22523;31923.1871;207.260016
31923.3629;207.138575;31923.3629;207.195473;31923.3629;207.260274;31923.3629;207.27634;31923.3629;207.214217;31923.3629;207.172066;31923.3629;207.153362;31923.3629;207.216824;31923.3629;207.251483
31934.7871;206.625171;31934.7871;206.67429;31934.7871;206.736268;31934.7871;206.754828;31934.7871;206.696354;31934.7871;206.65712;31934.7871;206.639236;31934.7871;206.695922;31934.7871;206.725895
32272.9146;207.075123;32272.9146;207.134067;32272.9146;207.203609;32272.9146;207.221994;32272.9146;207.156578;32272.9146;207.111903;32272.9146;207.091455;32272.9146;207.157809;32272.9146;207.193382
32272.9146;207.075123;32272.9146;207.134066;32272.9146;207.203609;32272.9146;207.221993;32272.9146;207.156577;32272.9146;207.111902;32272.9146;207.091454;32272.9146;207.157808;32272.9146;207.193381
32273.0903;207.067571;32273.0903;207.126276;32273.0903;207.195373;32273.0903;207.213565;32273.0903;207.148486;32273.0903;207.104061;32273.0903;207.083768;32273.0903;207.149811;32273.0903;207.185263
32284.5146;206.571237;32284.5146;206.620868;32284.5146;206.68234;32284.5146;206.700204;32284.5146;206.642068;32284.5146;206.602969;32284.5146;206.585215;32284.5146;206.642121;32284.5146;206.672389
32620.8626;206.997326;32620.8626;207.057976;32620.8626;207.131627;32620.8626;207.152056;32620.8626;207.083809;32620.8626;207.036963;32620.8626;207.015001;32620.8626;207.08381;32620.8626;207.12013
32620.8626;206.997325;32620.8626;207.057976;32620.8626;207.131626;32620.8626;207.152055;32620.8626;207.083808;32620.8626;207.036962;32620.8626;207.015;32620.8626;207.083809;32620.8626;207.120129
